original,normalized,iso_639_1,iso_639_3,count
Isabelle/ZF,Isabelle Zf,,,1
IsiNdebele,Isindebele,,,1
IsiXhosa,Isixhosa,,,1
IsiZulu,Isizulu,,,1
Isoko,Isoko,,iso,1
Itza',Itza',,,1
Ixil,Ixil,,ixl,1
Izii,Izii,,izz,1
Jamaican Creole,Jamaican Creole,,,1
Jamamadí-Kanamanti,Jamamadi Kanamanti,,,1
Jambi Malay,Jambi Malay,,jax,1
Jarai,Jarai,,jra,1
Jie,Jilbe,,jie,1
Jin,Jin,,,1
Jinghpaw,Jinghpaw,,,1
Jingpho,Jingpho,,,1
JolaKasa,Jolakasa,,,1
JurModo,Jurmodo,,,1
Ka'apor,Ka'Apor,,,1
Kabardian,Kabardian,,kbd,1
Kabiye,Kabiye,,,1
Kadiwéu,Kadiwéu,,kbc,1
Kaiabi,Kaiabi,,,1
Kaingáng,Kaingang,,,1
Kakabe,Kakabe,,kke,1
Kakwa,Kakwa,,keo,1
Kalaallisut,Kalaallisut,kl,kal,1
Kamas,Kamas,,xas,1
Kanien'kéha,Kanien'Keha,,,1
Kanuri,Kanuri,kr,kau,1
Kaqchikel,Kaqchikel,,cak,1
Karachay-Balkar,Karachay-Balkar,,krc,1
Karajá,Karajá,,kpj,1
Karamojong,Karamojong,,kdj,1
Karata,Karata,,kpt,1
Kashinawá (Peru),Kashinawa,,,1
Kayapó,Kayapó,,txu,1
Kedah Malay,Kedah Malay,,meo,1
Kenyang,Kenyang,,ken,1
Khakas,Khakas,,kjh,1
Khaling,Khaling,,klr,1
Khwarshi,Khwarshi,,,1
Kichwa,Kichwa,,,1
Kikongo,Kikongo,,,1
Kim,Kim,,kia,1
Kinyawanda,Kinyawanda,,,1
Kiswahili,Kiswahili,,,1
Kodava,Kodava,,kfa,1
Konda,Konda,,knd,1
Koore,Koore,,,1
Kotiria,Kotiria,,,1
Kryts,Kryts,,kry,1
Kubachi,Kubachi,,ugh,1
Kulina Madijá,Kulina Madija,,,1
Kumyk,Kumyk,,kum,1
Kunwinjku,Kunwinjku,,,1
Kurmanji,Kurmanji,,,1
Kurmanji Kurdish,Kurmanji Kurdish,,,1
Kutchi,Kutchi,,,1
Kwaio,Kwaio,,kwd,1
Kwegu,Kwegu,,xwg,1
LaTeX,Latex,,,1
Lakhota,Lakhota,,,1
Laki,Laki,,lki,1
Lamkang,Lamkang,,lmk,1
Lampung,Lampung,,,1
Lampung Nyo,Lampung Nyo,,abl,1
Latin-American Spanish,Latin American Spanish,,,1
Lelemi,Lelemi,,lef,1
Lezghian,Lezghian,,lez,1
Lezgian,Lezgian,,,1
Limburgan,Limburgan,li,lim,1
Limburgish,Limburgish,,,1
Linear A,Linear A,,lab,1
Literary Chinese,Literary Chinese,,lzh,1
Livonian,Livonian,,,1
Lopit,Lopit,,lpx,1
Low German,Low German,,nds,1
Low-resource languages,Low Resource Languages,,,1
Lua,Luba-Lulua,,lua,1
Luba,Luba,,,1
Luba-Katanga,Luba-Katanga,lu,lub,1
Luba-Lulua,Luba-Lulua,,lua,1
Lumun,Lumun,,lmd,1
Luri Bakhtiari,Luri Bakhtiari,,,1
Lushai,Lushai,,lus,1
Lyele,Lyele,,,1
Maasai,Maasai,,,1
Maban,Maban,,,1
Mafa,Mafa,,maf,1
Mainstream U.S. English (MUSE),Mainstream U.S. English,,,1
Makasar,Makasar,,mak,1
Makuxi,Makuxi,,,1
Malaysian,Malaysian,,,1
Malvi,Malvi,,mup,1
Mam,Mam,,mam,1
Manchu,Manchu,,mnc,1
Manipuri (Meitei),Manipuri,,,1
Martinican,Martinican,,,1
Martinican Creole,Martinican Creole,,,1
Mathematica,Mathematica,,,1
Mauritian,Mauritian,,,1
Mauritian Creole,Mauritian Creole,,,1
Mawé,Mawe,,,1
Maxakali,Maxakali,,,1
Maya,Maya,,,1
Mazandarani,Mazandarani,,,1
Mazatec,Mazatec,,,1
Me'en,Me'en,,mym,1
Meiteilon,Meiteilon,,,1
Meru,Meru,,mer,1
Middle Chinese,Middle Chinese,,,1
Min Nan Chinese,Min Nan Chinese,,nan,1
Mirandese,Mirandese,,mwl,1
Mixe,Mixe,,,1
Miyobe,Miyobe,,soy,1
Mokole,Mokole,,mkl,1
Moore,Moore,,,1
Morokodo,Morokodo,,mgc,1
Multilingual (100+ languages),Multilingual,,,1
Multilingual (15 languages),Multilingual,,,1
Multilingual (34 languages),Multilingual,,,1
Multiple languages from OPUS-16,Multiple Languages From Opus 16,,,1
Multiple low-resource languages,Multiple Low Resource Languages,,,1
Multiple source languages,Multiple Source Languages,,,1
Mumuye,Mumuye,,mzm,1
Mundani,Mundani,,mnf,1
Mundurukú,Mundurukú,,myu,1
Murle,Murle,,mur,1
Mursi,Mursi,,muz,1
Musi,Musi,,mui,1
Muyang,Muyang,,muy,1
NKo,Nkonya,,nko,1
Nadëb,Nadëb,,mbj,1
Nahua,Nahua,,,1
Naija,Naija,,,1
Naija (Nigerian Pidgin),Naija,,,1
Nambikwára,Nambikwara,,,1
Nande,Nande,,nnb,1
Naro,Naro,,nhr,1
Nayi,Nayi,,noz,1
Ndogo,Ndogo,,ndz,1
Ndyuka,Ndyuka,,,1
Ngangam,Ngangam,,gng,1
Ngiti,Ngiti,,niy,1
Ngoni,Ngoni,,,1
Nheengatu,Nheengatu,,,1
Nim,Nilamba,,nim,1
Niue,Niue,,,1
Nkonya,Nkonya,,nko,1
North Azerbaijani,North Azerbaijani,,azj,1
North Ndebele,North Ndebele,nd,nde,1
Northern Levantine Arabic,Northern Levantine Arabic,,,1
Norwegian Bokmal,Norwegian,no,nor,1
Norwegian Nynorsk,Norwegian Nynorsk,nn,nno,1
Nyangatom,Nyangatom,,nnj,1
Nyangia,Nyangia,,,1
OfficeScript,Officescript,,,1
Old Chinese,Old Chinese,,och,1
Oracle SuiteScript,Oracle Suitescript,,,1
Ossetian,Ossetian,os,oss,1
Ossetic,Ossetic,,,1
Other,Other,,,1
Other (10 total languages),Other,,,1
Other languages,Other Languages,,,1
Other low-resource languages,Other Low Resource Languages,,,1
Other:517 African languages,Other:517 African Languages,,,1
Paasaal,Paasaal,,sig,1
Palíkur,Palikur,,,1
Paresí,Paresi,,,1
Pattani Malay,Pattani Malay,,mfa,1
Paumarí,Paumarí,,pad,1
Pedi,Pedi,,nso,1
Perl,Perl,,,1
Pian,Pian,,,1
Pichinglis,Pichinglis,,,1
Piedmontese,Piedmontese,,,1
Piemontese,Piemontese,,pms,1
Plains Cree,Plains Cree,,crk,1
Pokomo,Pokomo,,pkb,1
Pokot,Pokot,,,1
Poqomam,Poqomam,,poc,1
Poqomchi',Poqomchi',,poh,1
Power Query M,Power Query M,,,1
Programming Languages,Programming Languages,,,1
Protein Sequence,Protein Sequence,,,1
Proto-Oceanic,Proto Oceanic,,,1
Proto-Tangkhulic,Proto Tangkhulic,,,1
Pushto,Pushto,ps,pus,1
Q'anjob'al,Q'anjob'al,,kjb,1
Q'eqchi',Q'Eqchi',,,1
Racket,Racket,,,1
Rajbanshi,Rajbanshi,,rjs,1
Rikbaktsa,Rikbaktsa,,rkb,1
Romance,Romance,,,1
Russia Buriat,Russia Buriat,,bxr,1
Rutul,Rutul,,rut,1
Rwanda,Rwanda,,,1
SAP ABAP,Sap Abap,,,1
SENĆOŦEN,Sencoŧen,,,1
Saint Lucian Patois,Saint Lucian Patois,,,1
Salar,Salar,,slr,1
Samburu,Samburu,,saq,1
Sami,Sami,,,1
Santome,Santome,,,1
Saraiki,Saraiki,,skr,1
Sasak,Sasak,,sas,1
Saudi Arabic,Saudi Arabic,,,1
Scots Gaelic,Scots Gaelic,,,1
Sekpele,Sekpele,,lip,1
Sepedi,Sepedi,,,1
Serbian Cyrillic,Serbian Cyrillic,,,1
Serbian Latin,Serbian Latin,,,1
Serbo-Croatian,Serbo-Croatian,sh,hbs,1
Seychellois,Seychellois,,,1
Sheko,Sheko,,she,1
Shilluk,Shilluk,,shk,1
Shipibo-Konibo,Shipibo Konibo,,,1
Shor,Shor,,cjs,1
Sichuan Yi,Sichuan Yi,ii,iii,1
Silt'e,Silt'e,,stv,1
Simple German,Simple German,,,1
Sinhalese,Sinhalese,,,1
Sipakapense,Sipakapense,,,1
Slavic,Slavic,,,1
Solidity,Solidity,,,1
Sorani,Sorani,,,1
Sorani Kurdish,Sorani Kurdish,,,1
South Giziga,South Giziga,,giz,1
South Levantine Arabic,South Levantine Arabic,,ajp,1
Southern Birifor,Southern Birifor,,biv,1
Southern Kurdish,Southern Kurdish,,sdh,1
Southern Nuni,Southern Nuni,,nnw,1
Southern Pashto,Southern Pashto,,pbt,1
