original,normalized,count
QuestEval,QUESTEVAL,33
pass@k,PASS,33
Consistency,CONSISTENCY,32
Recall@10,RECALL,32
Distinct-n,DISTINCT,31
Pass Rate,PASS RATE,31
ChrF++,CHRF++,30
Distinct-1,DISTINCT,30
Recall@K,RECALL,30
cosine similarity,COSINE SIMILARITY,30
AlignScore,ALIGNSCORE,29
Joint Goal Accuracy,JOINT GOAL ACCURACY,29
MSE,MSE,29
ERRANT,ERRANT,28
F1 score,F1,28
Recall@5,RECALL,28
Fluency,FLUENCY,27
G-Eval,G EVAL,27
Macro F1,F1,27
Micro-F1,F1,27
Recall@1,RECALL,27
Semantic Similarity,SEMANTIC SIMILARITY,27
Coherence,COHERENCE,26
Embedding Average,EMBEDDING,26
exact match,EXACT MATCH,26
CHAIR,CHAIR,25
FID,FID,25
KL Divergence,KL DIVERGENCE,25
Perplexity (PPL),PERPLEXITY PPL,25
ACC,ACC,24
Kendall's τ,KENDALL,24
PARENT,PARENT,24
IoU,IOU,23
Precision@1,PRECISION,23
Word Error Rate,WORD ERROR RATE,23
Word Error Rate (WER),WORD ERROR RATE WER,23
spBLEU,SPBLEU,23
Balanced Accuracy,BALANCED ACCURACY,22
DAE,DAE,22
Edit Distance,EDIT DISTANCE,22
KL divergence,KL DIVERGENCE,21
Levenshtein Distance,LEVENSHTEIN DISTANCE,21
MT-Bench,MT BENCH,21
nDCG@10,NDCG,21
ECE,ECE,20
Exact Match (EM),EXACT MATCH EM,20
Expected Calibration Error,EXPECTED CALIBRATION ERROR,20
Jaccard Similarity,JACCARD SIMILARITY,20
Jensen-Shannon Divergence,JENSEN SHANNON DIVERGENCE,20
Length,LENGTH,20
Citation Precision,CITATION PRECISION,19
Citation Recall,CITATION RECALL,19
F1-Score,F1,19
ANLS,ANLS,18
Bias Score,BIAS,18
COMET-QE,COMET QE,18
NLI,NLI,18
Refusal Rate,REFUSAL RATE,18
USR,USR,18
mAP,MAP,18
Average Lagging,LAGGING,17
BLANC,BLANC,17
Cohen's Kappa,COHEN S KAPPA,17
Hallucination Rate,HALLUCINATION RATE,17
Kendall's Tau,KENDALL S TAU,17
Latency,LATENCY,17
Mean Squared Error,SQUARED ERROR,17
Precision@k,PRECISION,17
ROC-AUC,ROC AUC,17
Specificity,SPECIFICITY,17
SummaC,SUMMAC,17
XCOMET,XCOMET,17
iBLEU,IBLEU,17
CTC,CTC,16
CodeBLEU,CODEBLEU,16
Cosine similarity,COSINE SIMILARITY,16
FActScore,FACTSCORE,16
GPTScore,GPTSCORE,16
Locality,LOCALITY,16
PRISM,PRISM,16
QAFactEval,QAFACTEVAL,16
Reward Model Score,REWARD MODEL,16
AlpacaEval,ALPACAEVAL,15
Classification Accuracy,CLASSIFICATION ACCURACY,15
Compression Ratio,COMPRESSION RATIO,15
Entity F1,ENTITY F1,15
Error Rate,ERROR RATE,15
F-score,F,15
FactScore,FACTSCORE,15
Length-Controlled Win Rate,LENGTH CONTROLLED WIN RATE,15
M2,M2,15
Validity,VALIDITY,15
Vector Extrema,VECTOR EXTREMA,15
nDCG,NDCG,15
Brier Score,BRIER,14
CLIP,CLIP,14
Correctness,CORRECTNESS,14
Edit Similarity,EDIT SIMILARITY,14
Exact match,EXACT MATCH,14
Faithfulness,FAITHFULNESS,14
Mean Absolute Error,ABSOLUTE ERROR,14
P@1,P,14
Relevance,RELEVANCE,14
Reliability,RELIABILITY,14
SIM,SIM,14
Spearman's ρ,SPEARMAN,14
Top-1 Accuracy,TOP 1 ACCURACY,14
Toxicity Score,TOXICITY,14
CHRF++,CHRF++,13
CLIP Score,CLIP,13
DIST,DIST,13
DISTINCT,DISTINCT,13
Entailment,ENTAILMENT,13
FKGL,FKGL,13
Flesch Reading Ease,FLESCH READING EASE,13
MTLD,MTLD,13
MetricX,METRICX,13
Novelty,NOVELTY,13
Pearson correlation coefficient,PEARSON CORRELATION COEFFICIENT,13
RUBER,RUBER,13
Recall@100,RECALL,13
SSIM,SSIM,13
TPR,TPR,13
success rate,SUCCESS RATE,13
win rate,WIN RATE,13
Average Reward,REWARD,12
Cohen's kappa,COHEN S KAPPA,12
Density,DENSITY,12
GSM8K,GSM8K,12
Greedy Matching,GREEDY MATCHING,12
Hit@1,HIT,12
Hits@10,HITS,12
Knowledge F1,KNOWLEDGE F1,12
Loss,LOSS,12
MC2,MC2,12
MRR@10,MRR,12
M²,M,12
Perspective API,PERSPECTIVE API,12
R@1,R,12
Repetition Rate,REPETITION RATE,12
Style Accuracy,STYLE ACCURACY,12
Success Rate (SR),SUCCESS RATE SR,12
Toxicity Probability,TOXICITY PROBABILITY,12
TruthfulQA,TRUTHFULQA,12
UTMOS,UTMOS,12
VQA Accuracy,VQA ACCURACY,12
self-BLEU,SELF BLEU,12
Combined Score,COMBINED,11
Completeness,COMPLETENESS,11
FEQA,FEQA,11
False Positive Rate,FALSE POSITIVE RATE,11
Flesch-Kincaid,FLESCH KINCAID,11
HellaSwag,HELLASWAG,11
Hit Rate,HIT RATE,11
Jaccard,JACCARD,11
LCS,LCS,11
LENS,LENS,11
Micro F1,F1,11
NLL,NLL,11
ROC AUC,ROC AUC,11
Safety Score,SAFETY,11
SimCSE,SIMCSE,11
Spearman,SPEARMAN,11
Success,SUCCESS,11
SummaQA,SUMMAQA,11
Token Count,TOKEN COUNT,11
Token F1,TOKEN F1,11
Toxicity,TOXICITY,11
Weighted F1,F1,11
pass rate,PASS RATE,11
sacreBLEU,SACREBLEU,11
t-test,T TEST,11
ARC,ARC,10
AUC-ROC,AUC ROC,10
Answer Accuracy,ANSWER ACCURACY,10
Average Lagging (AL),LAGGING AL,10
BBH,BBH,10
BERT-Score,BERT,10
CLIP-Score,CLIP,10
Character Error Rate,CHARACTER ERROR RATE,10
Embedding Extrema,EMBEDDING EXTREMA,10
Embedding Greedy,EMBEDDING GREEDY,10
FPR,FPR,10
GRUEN,GRUEN,10
Generalization,GENERALIZATION,10
Helpfulness,HELPFULNESS,10
Levenshtein distance,LEVENSHTEIN DISTANCE,10
MC1,MC1,10
NMI,NMI,10
POPE,POPE,10
Pearson,PEARSON,10
QAGS,QAGS,10
Response Length,RESPONSE LENGTH,10
Reward Score,REWARD,10
SBERT,SBERT,10
SER,SER,10
SUPERT,SUPERT,10
Similarity,SIMILARITY,10
Smatch,SMATCH,10
Task Success Rate,TASK SUCCESS RATE,10
WMD,WMD,10
macro-F1,F1,10
ADEM,ADEM,9
Citation F1,CITATION F1,9
CometKiwi,COMETKIWI,9
Denotation Accuracy,DENOTATION ACCURACY,9
EX,EX,9
Expected Calibration Error (ECE),EXPECTED CALIBRATION ERROR,9
F1@M,F1@M,9
FED,FED,9
Factuality,FACTUALITY,9
Flesch-Kincaid Grade Level,FLESCH KINCAID GRADE LEVEL,9
G-EVAL,G EVAL,9
GPT-4 Score,GPT 4,9
Generality,GENERALITY,9
Hits@3,HITS,9
Joint Accuracy,JOINT ACCURACY,9
LIWC,LIWC,9
NDCG@10,NDCG,9
Negative Log-Likelihood,NEGATIVE LOG LIKELIHOOD,9
R@10,R,9
R@5,R,9
Repetition,REPETITION,9
Sentence-BERT,SENTENCE BERT,9
Solve Rate,SOLVE RATE,9
Throughput,THROUGHPUT,9
UNION,UNION,9
p-value,P VALUE,9
win-rate,WIN RATE,9
xCOMET,XCOMET,9
AER,AER,8
AL,AL,8
AP,AP,8
Accuracy@1,ACCURACY,8
Claim Recall,CLAIM RECALL,8
Classifier Accuracy,CLASSIFIER ACCURACY,8
Cohen's κ,COHEN,8
Dist-1,DIST,8
Dist-2,DIST,8
Distinct n-grams,DISTINCT N GRAMS,8
Distinct-N,DISTINCT,8
Distinctness,DISTINCTNESS,8
Expected Maximum Toxicity,EXPECTED MAXIMUM TOXICITY,8
F1@5,F1,8
FLOPs,FLOPS,8
GEMBA-MQM,GEMBA MQM,8
GPT-4 Evaluation,GPT 4 EVALUATION,8
GRADE,GRADE,8
HTER,HTER,8
Inform Rate,INFORM RATE,8
Informativeness,INFORMATIVENESS,8
Intersection over Union,INTERSECTION OVER UNION,8
Jensen-Shannon Distance,JENSEN SHANNON DISTANCE,8
Joint Goal Accuracy (JGA),JOINT GOAL ACCURACY,8
Kendall's tau,KENDALL S TAU,8
LASER,LASER,8
LLM-as-a-Judge,LLM AS A JUDGE,8
MME,MME,8
MiniCheck,MINICHECK,8
Mutual Information,MUTUAL INFORMATION,8
Normalized Edit Distance,NORMALIZED EDIT DISTANCE,8
PER,PER,8
PESQ,PESQ,8
Precision@5,PRECISION,8
R-squared,R SQUARED,8
RTF,RTF,8
Recall@20,RECALL,8
Speedup,SPEEDUP,8
Wasserstein Distance,WASSERSTEIN DISTANCE,8
Win rate,WIN RATE,8
AUPRC,AUPRC,7
Acceptance Rate,ACCEPTANCE RATE,7
AfriCOMET,AFRICOMET,7
AutoAIS,AUTOAIS,7
BERT-iBLEU,BERT IBLEU,7
Character Error Rate (CER),CHARACTER ERROR RATE,7
CheXbert,CHEXBERT,7
CodeBERTScore,CODEBERTSCORE,7
Cosine Distance,COSINE DISTANCE,7
Distinct-3,DISTINCT,7
Flip Rate,FLIP RATE,7
GREEN,GREEN,7
Inform,INFORM,7
LAAL,LAAL,7
MCC,MCC,7
MCD,MCD,7
Matthews Correlation Coefficient,MATTHEWS CORRELATION COEFFICIENT,7
Mean Rank,RANK,7
NDCG@3,NDCG,7
NDCG@K,NDCG,7
Overall Accuracy,OVERALL ACCURACY,7
PR-AUC,PR AUC,7
PSNR,PSNR,7
Pass rate,PASS RATE,7
Pass@10,PASS,7
Q2,Q2,7
QAEval,QAEVAL,7
RR,RR,7
RefCLIPScore,REFCLIPSCORE,7
Relaxed Accuracy,RELAXED ACCURACY,7
Reward,REWARD,7
SMATCH,SMATCH,7
Sentiment Score,SENTIMENT,7
Shannon Entropy,SHANNON ENTROPY,7
Slot Accuracy,SLOT ACCURACY,7
Spearman's correlation,SPEARMAN CORRELATION,7
Step Success Rate,STEP SUCCESS RATE,7
SummaC-ZS,SUMMAC ZS,7
Total Variation Distance,TOTAL VARIATION DISTANCE,7
Tree Edit Distance,TREE EDIT DISTANCE,7
Win-rate,WIN RATE,7
Word Mover's Distance,WORD MOVER S DISTANCE,7
distinct-n,DISTINCT,7
micro-F1,F1,7
pass@10,PASS,7
AUC-PR,AUC PR,6
Acc,ACC,6
Adjusted Rand Index,ADJUSTED RAND INDEX,6
Agreement,AGREEMENT,6
Alignment Error Rate (AER),ALIGNMENT ERROR RATE AER,6
Answer Correctness,ANSWER CORRECTNESS,6
Average Length,LENGTH,6
BLASER,BLASER,6
CLAIR,CLAIR,6
COMET-22,COMET,6
COMETKIWI,COMETKIWI,6
Cohen's d,COHEN S,6
Cross-entropy,CROSS ENTROPY,6
Cross-entropy loss,CROSS ENTROPY LOSS,6
DR,DR,6
Disambig-F1,DISAMBIG F1,6
Dist,DIST,6
Efficacy,EFFICACY,6
Element Accuracy,ELEMENT ACCURACY,6
Embedding Similarity,EMBEDDING SIMILARITY,6
Entity Recall,ENTITY RECALL,6
Entity-F1,ENTITY F1,6
Extrema,EXTREMA,6
FACTSCORE,FACTSCORE,6
FAD,FAD,6
Failure Rate,FAILURE RATE,6
G-score,G,6
GPT-4,GPT,6
Geometric Mean,GEOMETRIC,6
Graph Edit Distance,GRAPH EDIT DISTANCE,6
HumanEval,HUMANEVAL,6
IFEval,IFEVAL,6
KL-divergence,KL DIVERGENCE,6
Krippendorff's alpha,KRIPPENDORFF S ALPHA,6
Lexical Diversity,LEXICAL DIVERSITY,6
MAUDE,MAUDE,6
MT-Bench Score,MT BENCH,6
MT-Bench score,MT BENCH,6
NLI-Acc,NLI ACC,6
Node F1,NODE F1,6
Pearson Correlation Coefficient,PEARSON CORRELATION COEFFICIENT,6
Pearson's correlation,PEARSON CORRELATION,6
Pearson's r,PEARSON S,6
Precision@K,PRECISION,6
Probability,PROBABILITY,6
R-Precision,R PRECISION,6
R²,R,6
S3,S3,6
Semantic Entropy,SEMANTIC ENTROPY,6
Sentiment,SENTIMENT,6
Sentiment Analysis,SENTIMENT ANALYSIS,6
Speedup Ratio,SPEEDUP RATIO,6
TAPAS-Acc,TAPAS ACC,6
TF-IDF,TF IDF,6
Time,TIME,6
Token Accuracy,TOKEN ACCURACY,6
Token-level F1,TOKEN LEVEL F1,6
UniTE,UNITE,6
VQA Score,VQA,6
mIoU,MIOU,6
AIS,AIS,5
ANLI,ANLI,5
ANOVA,ANOVA,5
APT,APT,5
ARI,ARI,5
ASR-BLEU,ASR BLEU,5
AUC ROC,AUC ROC,5
Aesthetic Score,AESTHETIC,5
Answer Recall,ANSWER RECALL,5
Average Precision,PRECISION,5
Average Sentence Length,SENTENCE LENGTH,5
BEM,BEM,5
BLONDE,BLONDE,5
CLIP-S,CLIP,5
COMETKiwi,COMETKIWI,5
CoLA,COLA,5
Compression Rate,COMPRESSION RATIO,5
Consistency Score,CONSISTENCY,5
Cost,COST,5
Cross-Entropy Loss,CROSS ENTROPY LOSS,5
Delivery Rate,DELIVERY RATE,5
Detection Rate,DETECTION RATE,5
Dist-n,DIST,5
DynaEval,DYNAEVAL,5
Edge F1,EDGE F1,5
Entailment Score,ENTAILMENT,5
Exact Set Match Accuracy,EXACT MATCH ACCURACY,5
F1-macro,F1,5
F1@10,F1,5
F1@k,F1,5
FCD,FCD,5
FLEUR,FLEUR,5
False Negative Rate,FALSE NEGATIVE RATE,5
Final Pass Rate,FINAL PASS RATE,5
Fleiss' Kappa,FLEISS KAPPA,5
GEMBA,GEMBA,5
Gender Accuracy,GENDER ACCURACY,5
Harmful Rate,HARMFUL RATE,5
Hit,HIT,5
Hit@k,HIT,5
Inception Score,INCEPTION,5
Information Gain,INFORMATION GAIN,5
JS,JS,5
JSD,JSD,5
Jaccard similarity,JACCARD SIMILARITY,5
Krippendorff's Alpha,KRIPPENDORFF S ALPHA,5
Kullback-Leibler Divergence,KULLBACK LEIBLER DIVERGENCE,5
LPIPS,LPIPS,5
LaBSE,LABSE,5
Length-controlled Win Rate,LENGTH CONTROLLED WIN RATE,5
Levenshtein edit distance,LEVENSHTEIN EDIT DISTANCE,5
Log-likelihood,LOG LIKELIHOOD,5
MAP@K,MAP,5
MC3,MC3,5
METRICX,METRICX,5
MMMU,MMMU,5
MS-Jaccard,MS JACCARD,5
MT-bench,MT BENCH,5
MaxMatch,MAXMATCH,5
Mean Average Precision,PRECISION,5
Naturalness,NATURALNESS,5
PMR,PMR,5
Pairwise Accuracy,PAIRWISE ACCURACY,5
Precision@10,PRECISION,5
Prism,PRISM,5
QA Accuracy,QA ACCURACY,5
Quadratic Weighted Kappa,QUADRATIC KAPPA,5
Quality,QUALITY,5
Q²,Q,5
R@K,R,5
RefCLIP-S,REFCLIP,5
Regard,REGARD,5
Rejection Rate,REJECTION RATE,5
SECS,SECS,5
SP-Acc,SP ACC,5
Semantic similarity,SEMANTIC SIMILARITY,5
Speaker Similarity,SPEAKER SIMILARITY,5
Spearman Rank Correlation,SPEARMAN RANK CORRELATION,5
Spearman's rank correlation,SPEARMAN RANK CORRELATION,5
Style Transfer Accuracy,STYLE TRANSFER ACCURACY,5
SummaC-Conv,SUMMAC CONV,5
TTR,TTR,5
USE,USE,5
V-measure,V MEASURE,5
VQAScore,VQASCORE,5
Validation Loss,VALIDATION LOSS,5
WERR,WERR,5
consistency,CONSISTENCY,5
coverage,COVERAGE,5
edit distance,EDIT DISTANCE,5
exact match accuracy,EXACT MATCH ACCURACY,5
execution accuracy,EXECUTION ACCURACY,5
macro F1,F1,5
n-gram diversity,N GRAM DIVERSITY,5
ΔS,S,5
A3CU,A3CU,4
AUPR,AUPR,4
Accuracy@k,ACCURACY,4
AllCorrect,ALLCORRECT,4
ArmoRM,ARMORM,4
Average Proportion (AP),PROPORTION AP,4
Average Recall,RECALL,4
Average Turns,TURNS,4
BPC,BPC,4
Burstiness,BURSTINESS,4
CEAF,CEAF,4
CLAP,CLAP,4
CSR,CSR,4
ChERRANT,CHERRANT,4
Claim Precision,CLAIM PRECISION,4
Coefficient of Variation,COEFFICIENT OF VARIATION,4
Confidence Score,CONFIDENCE,4
Content Selection,CONTENT SELECTION,4
Coverage Score,COVERAGE,4
Cronbach's alpha,CRONBACH S ALPHA,4
Cross-Entropy,CROSS ENTROPY,4
D-SARI,D SARI,4
DAL,DAL,4
Depth,DEPTH,4
Detection Accuracy,DETECTION ACCURACY,4
Diversity Score,DIVERSITY,4
EC,EC,4
EMD,EMD,4
ESIM,ESIM,4
Exact Set Match,EXACT SET MATCH,4
Executability,EXECUTABILITY,4
Execution Match,EXECUTION MATCH,4
F-measure,F MEASURE,4
FCR,FCR,4
FMR,FMR,4
FRE,FRE,4
FactKB,FACTKB,4
Faithfulness Score,FAITHFULNESS,4
Forget Quality,FORGET QUALITY,4
G-BERTScore,G BERTSCORE,4
GPT-4 Win Rate,GPT 4 WIN RATE,4
GPT-4o,GPT 4,4
GPT-4o Score,GPT 4,4
Graph Edit Distance (GED),GRAPH EDIT DISTANCE,4
Greedy,GREEDY,4
Harmfulness Score,HARMFULNESS,4
Harmonic Mean,HARMONIC,4
Hellaswag,HELLASWAG,4
Hit@5,HIT,4
Hits@k,HITS,4
Inference Time,INFERENCE TIME,4
Jaccard Index,JACCARD INDEX,4
Jensen-Shannon divergence,JENSEN SHANNON DIVERGENCE,4
KL,KL,4
Kendall,KENDALL,4
Kendall τ,KENDALL,4
Kendall-Tau,KENDALL S TAU,4
Krippendorff's α,KRIPPENDORFF,4
LAS,LAS,4
LLM-as-Judge,LLM AS A JUDGE,4
Levenshtein,LEVENSHTEIN,4
Logical Form Accuracy,LOGICAL FORM ACCURACY,4
Logit Difference,LOGIT DIFFERENCE,4
M2Scorer,M2SCORER,4
MM-Vet,MM VET,4
MOS,MOS,4
MRR@k,MRR,4
MUC,MUC,4
MaTESe,MATESE,4
Macro F1-score,F1,4
Match,MATCH,4
Match Rate,MATCH RATE,4
Memorization Ratio,MEMORIZATION RATIO,4
MetricX-23,METRICX,4
Normalized Accuracy,NORMALIZED ACCURACY,4
Operation F1,OPERATION F1,4
Overlap,OVERLAP,4
PAC-S,PAC,4
PT-M2,PT M2,4
Portability,PORTABILITY,4
Program Accuracy,PROGRAM ACCURACY,4
Purity,PURITY,4
QRelScore,QRELSCORE,4
QWK,QWK,4
Quality Score,QUALITY,4
R@k,R,4
RaTEScore,RATESCORE,4
RadCliQ,RADCLIQ,4
Ranking Accuracy,RANKING ACCURACY,4
Recall@50,RECALL,4
Reward Accuracy,REWARD ACCURACY,4
Robustness,ROBUSTNESS,4
Runtime,RUNTIME,4
SLE,SLE,4
SMS,SMS,4
SPL,SPL,4
SR,SR,4
SS,SS,4
STOI,STOI,4
STS,STS,4
SUMMAC,SUMMAC,4
Safety Rate,SAFETY RATE,4
Sensitivity,SENSITIVITY,4
Sentence Accuracy,SENTENCE ACCURACY,4
Sentence Length,SENTENCE LENGTH,4
Simulatability,SIMULATABILITY,4
Slot Error Rate,SLOT ERROR RATE,4
Slot F1,SLOT F1,4
Spearman rank correlation,SPEARMAN RANK CORRELATION,4
Spearman's Rank Correlation,SPEARMAN RANK CORRELATION,4
Strict Accuracy,STRICT ACCURACY,4
SubEM,SUBEM,4
TED,TED,4
TS,TS,4
Task Completion Rate,TASK COMPLETION RATE,4
Task Success,TASK SUCCESS,4
Test Accuracy,TEST ACCURACY,4
Test Loss,TEST LOSS,4
Topographic Similarity,TOPOGRAPHIC SIMILARITY,4
Transfer Accuracy,TRANSFER ACCURACY,4
True Positive Rate,TRUE POSITIVE RATE,4
Truth Ratio,TRUTH RATIO,4
Truthfulness,TRUTHFULNESS,4
Type-Token Ratio,TYPE TOKEN RATIO,4
USL-H,USL,4
Variance,VARIANCE,4
Vendi Score,VENDI,4
Weighted Accuracy,ACCURACY,4
Winning Rate,WINNING RATE,4
Winogrande,WINOGRANDE,4
best,BEST,4
classification accuracy,CLASSIFICATION ACCURACY,4
denotation accuracy,DENOTATION ACCURACY,4
distinct-1,DISTINCT,4
distinct-2,DISTINCT,4
exact-match accuracy,EXACT MATCH ACCURACY,4
log-likelihood,LOG LIKELIHOOD,4
oot,OOT,4
pairwise accuracy,PAIRWISE ACCURACY,4
recall@k,RECALL,4
relevance,RELEVANCE,4
reward score,REWARD,4
ΔG,G,4
ACR,ACR,3
ARC-Challenge,ARC CHALLENGE,3
ARC-Easy,ARC EASY,3
ATD,ATD,3
Acc@k,ACC,3
Acceptance Length,ACCEPTANCE LENGTH,3
Accuracy@10,ACCURACY,3
Accuracy@5,ACCURACY,3
Active Units (AU),ACTIVE UNITS AU,3
Agreement Rate,AGREEMENT RATE,3
Alignment,ALIGNMENT,3
Alpaca-Eval,ALPACAEVAL,3
AlpacaEval 2.0,ALPACAEVAL,3
Answer F1,ANSWER F1,3
Arena-Hard,ARENA HARD,3
Average Acceptance Length,ACCEPTANCE LENGTH,3
Average Steps,STEPS,3
Average Turn,TURN,3
Average Turn (AT),TURN AT,3
B3,B3,3
BEER,BEER,3
BERT,BERT,3
BERT-RUBER,BERT RUBER,3
BERTSCORE,BERTSCORE,3
BM25,BM25,3
Backward Transfer,BACKWARD TRANSFER,3
BartScore,BARTSCORE,3
BertScore,BERTSCORE,3
BlonDe,BLONDE,3
C score,C,3
CC-SHAP,CC SHAP,3
CIDER,CIDER,3
CLAP Score,CLAP,3
CLEME,CLEME,3
CLI,CLI,3
COMET22,COMET22,3
CPL,CPL,3
CPS,CPS,3
CR,CR,3
Chamfer Distance,CHAMFER DISTANCE,3
CharacTER,CHARACTER,3
ChatGPT,CHATGPT,3
Chi-squared test,CHI SQUARED TEST,3
Citation Accuracy,CITATION ACCURACY,3
Clarity,CLARITY,3
Coh-Con.Score,COH CON,3
Coleman-Liau Index,COLEMAN LIAU INDEX,3
Commonsense Constraint Pass Rate,COMMONSENSE CONSTRAINT PASS RATE,3
Completion Rate,COMPLETION RATE,3
Con.Score,CON,3
Conciseness,CONCISENESS,3
Conditional Entropy,CONDITIONAL ENTROPY,3
Confidence,CONFIDENCE,3
Correction Accuracy,CORRECTION ACCURACY,3
Correlation,CORRELATION,3
Cyclomatic Complexity,CYCLOMATIC COMPLEXITY,3
D-2,D,3
D-F1,D F1,3
DER,DER,3
DIV,DIV,3
DROP,DROP,3
DTW,DTW,3
Defense Success Rate,DEFENSE SUCCESS RATE,3
Defense Success Rate (DSR),DEFENSE SUCCESS RATE,3
DetectGPT,DETECTGPT,3
Detoxify,DETOXIFY,3
DialogRPT,DIALOGRPT,3
Differentiable Average Lagging,DIFFERENTIABLE LAGGING,3
Differentiable Average Lagging (DAL),DIFFERENTIABLE LAGGING,3
EMScore,EMSCORE,3
ESTOI,ESTOI,3
Earth Mover's Distance,EARTH MOVER S DISTANCE,3
Edit distance,EDIT DISTANCE,3
Efficiency,EFFICIENCY,3
Elo Rating,ELO RATING,3
Embedding-based metrics,EMBEDDING BASED METRICS,3
EndOffset,ENDOFFSET,3
Engagement,ENGAGEMENT,3
Entity Grid,ENTITY GRID,3
Entity Precision,ENTITY PRECISION,3
Entity Score,ENTITY,3
Euclidean Distance,EUCLIDEAN DISTANCE,3
Euclidean distance,EUCLIDEAN DISTANCE,3
Evidence F1,EVIDENCE F1,3
Exact Match Recall,EXACT MATCH RECALL,3
Exact Matching,EXACT MATCHING,3
Exact match accuracy,EXACT MATCH ACCURACY,3
Exact-match,EXACT MATCH,3
Execution Accuracy (EX),EXECUTION ACCURACY,3
Execution Rate,EXECUTION RATE,3
F-1,F,3
F1-RadGraph,F1 RADGRAPH,3
F1@K,F1,3
F1@O,F1@O,3
FACTCC,FACTCC,3
FFE,FFE,3
FL,FL,3
FSR,FSR,3
FVD,FVD,3
Factuality Score,FACTUALITY,3
Fréchet Distance,FR CHET DISTANCE,3
GM,GM,3
GPT Score,GPT,3
GPT-4 scoring,GPT 4 SCORING,3
GPT-Score,GPT,3
GSM,GSM,3
Generation Length,GENERATION LENGTH,3
Goal Completion Rate,GOAL COMPLETION RATE,3
Grammar,GRAMMAR,3
HEQ-Q,HEQ,3
HIT@1,HIT,3
HR@K,HR,3
HS,HS,3
Hallucination,HALLUCINATION,3
Hallucination Rate (HR),HALLUCINATION RATE,3
Hallucinations,HALLUCINATION,3
Hamming Distance,HAMMING DISTANCE,3
Hard Constraint Pass Rate,HARD CONSTRAINT PASS RATE,3
Harmful Score,HARMFUL,3
Hits@5,HITS,3
Hits@K,HITS,3
ICC,ICC,3
IOU,IOU,3
IS,IS,3
In-Accuracy,IN ACCURACY,3
InferSent,INFERSENT,3
Inform F1,INFORM F1,3
Intersection over Union (IoU),INTERSECTION OVER UNION,3
J,J,3
JGA,JGA,3
Joint Score,JOINT,3
Just-Eval,JUST EVAL,3
KILT-F1,KILT F1,3
Knowledge Precision,KNOWLEDGE PRECISION,3
Knowledge Recall,KNOWLEDGE RECALL,3
LAVE,LAVE,3
LEIC,LEIC,3
LENS-SALSA,LENS SALSA,3
LIC,LIC,3
LLM-Score,LLM,3
LLM-as-a-judge,LLM AS A JUDGE,3
LTCR,LTCR,3
Language Detection,LANGUAGE DETECTION,3
Length Ratio,LENGTH RATIO,3
Levenshtein Similarity,LEVENSHTEIN SIMILARITY,3
Lexical Repetition,LEXICAL REPETITION,3
Lexical diversity,LEXICAL DIVERSITY,3
Likert scale rating,LIKERT SCALE RATING,3
LitePyramid,LITEPYRAMID,3
Log Probability,LOG PROBABILITY,3
Longest Common Subsequence,LONGEST COMMON SUBSEQUENCE,3
M2 Scorer,M2SCORER,3
MACCS FTS,MACCS FTS,3
MACs,MACS,3
MAPE,MAPE,3
MATH,MATH,3
MATTR,MATTR,3
